会社コード,業種名,和文社名,住所,lat,lon
2660,化学,東レ・デュポン（株）,東京都中央区日本橋本町１－１－１　ＭＥＴＬＩＦＥ日本橋本町ビル,35.6850578,139.7764718
7840,電気機器卸売,（株）フィリップス・ジャパン,東京都港区港南２－１３－３７　フィリップスビル,35.6281599,139.7451647
11530,機械,イートン（株）,東京都港区赤坂８－１１－３７　いちご乃木坂ビル,35.6686445,139.7273141
100823,通信・放送,オレンジ・ジャパン（株）,東京都港区虎ノ門４－３－１　城山トラストタワー３４階,35.6646397,139.7430889
101027,他製造業,メルセン・エフエムエー（株）,東京都新宿区西新宿２－７－１　小田急第一生命ビル１４階,35.6915156,139.6913635
103015,情報・システム・ソフト,エレクトロニック・アーツ（株）,東京都港区虎ノ門４－３－１　城山トラストタワー東京赤坂法律事務所内,35.6646397,139.7430889
103143,他サービス,ウォルト・ディズニー・ジャパン（株）,東京都港区虎ノ門１－２３－１　虎ノ門ヒルズ森タワー,35.6668216,139.7494178
104126,医薬品,東菱薬品工業（株）,東京都千代田区有楽町１－１０－１　有楽町ビル,35.674941,139.7616168
104302,その他卸売,エイピーピー・ジャパン（株）,東京都品川区東五反田２－１０－２　東五反田スクエア１４階,35.6247208,139.7272831
104515,その他卸売,メドトロニックソファモアダネック（株）,東京都港区港南１－２－７０　品川シーズンテラス,35.6324899,139.743003
104523,貸金・信販・カード,ＣＦＪ合同会社,東京都新宿区新宿６－２７－３０　新宿イーストサイドスクエア８階,35.696585,139.7088723
200306,医薬品卸売,ゲルベ・ジャパン（株）,東京都千代田区麹町６－４－６　ＴＳ麹町ＢＬＤＧ．２階,35.6854606,139.7323452
200351,精密機器卸売,カボデンタルシステムズ（株）,東京都品川区北品川４－７－３５　御殿山トラストタワー１５階,35.6221677,139.7370215
200617,鉄鋼・金属卸売,アレゲニー・テクノロジーズ・ジャパン（株）,東京都港区南青山２－２－３　ヒューリック青山外苑東通りビル５階,35.6714265,139.7242502
