会社コード,業種名,和文社名,住所,lat,lon,エリア
100,化学,ヘンケルジャパン（株）,東京都品川区東品川２－２－８　スフィアタワー天王洲１４階,35.6229184,139.7496359,-
160,化学卸売,日本アグフア・ゲバルト（株）,東京都品川区大崎１－６－１　大崎ニューシティビル１号館５階,35.6204106,139.7283008,-
280,機械,アルファ・ラバル（株）,東京都港区港南２－１２－２３　明産高浜ビル１０階,35.6249865,139.745484,-
445,他小売,日本アムウェイ合同会社,東京都渋谷区宇田川町７－１,35.6638015,139.6964043,-
450,電気機器,アナログ・デバイセズ（株）,東京都港区海岸１－１６－１　ニューピア竹芝サウスタワービル１０階,35.6534029,139.7625892,-
490,精密機器卸売,アプライド　マテリアルズ　ジャパン（株）,東京都港区海岸３－２０－２０　ヨコソーレインボータワー８階,35.6400253,139.7565031,-
500,機械卸売,ＳＰＸフローテクノロジージャパン（株）,東京都渋谷区恵比寿１－１９－１５　ウノサワ東急ビル２階,35.6474157,139.7132495,-
850,自動車販売,ビー・エム・ダブリュー（株）,東京都千代田区丸の内１－９－２　グラントウキョウサウスタワー,35.6789633,139.7673717,大丸有
1000,化学,ＢＡＳＦジャパン（株）,東京都中央区日本橋室町３－４－４　ＯＶＯＬ日本橋ビル３階,35.688285,139.7734349,日八京
1045,化学卸売,テサテープ（株）,東京都港区白金１－２７－６　白金高輪ステーションビル８階,35.6438865,139.7341877,-
1060,精密機器,ベックマン・コールター（株）,東京都江東区有明３－５－７　ＴＯＣ有明ウエストタワー,35.6321298,139.7881255,-
1110,精密機器卸売,ボシュロム・ジャパン（株）,東京都品川区南大井６－２６－２　大森ベルポートＢ館,35.5878698,139.7312884,-
1130,総合卸売,ブルーベル・ジャパン（株）,東京都港区南青山２－２－３　南青山Ｍ－ＳＱＵＡＲＥ７階,35.6714214,139.7241871,-
1150,医薬品,ロシュ・ダイアグノスティックス（株）,東京都港区港南１－２－７０　品川シーズンテラス,35.6324899,139.743003,-
1195,食料品,Ｂ－Ｒ　サーティワン　アイスクリーム（株）,東京都品川区上大崎３－１－１　目黒セントラルスクエア,35.6334096,139.7167483,-
1300,専門店,（株）ブルックスブラザーズジャパン,東京都品川区上大崎３－１－１　ＪＲ東急目黒ビル１７階,35.6326864,139.7157508,-
1430,不動産,イリス（株）,東京都品川区上大崎３－１２－１８　イリスビル,35.6295952,139.7188232,-
1530,食料品,キャンベルジャパン（株）,東京都渋谷区広尾５－８－１４　１０階,35.6482982,139.7213905,-
1570,精密機器卸売,カールツァイス（株）,東京都千代田区麹町２－１０－９　住友不動産麹町ビル４号館,35.6854205,139.7405341,-
1580,機械卸売,カルピジャーニ・ジャパン（株）,東京都世田谷区三宿１－１３－１　東映三宿ビル４階,35.6471634,139.6767013,-
1680,その他卸売,シャネル合同会社,東京都中央区銀座３－５－３　シャネル銀座ビルディング,35.6729966,139.7665258,-
1820,レジャー・娯楽,（株）クラブメッド,東京都品川区大崎５－６－２　都五反田ビル西館２階,35.6226805,139.7238915,-
1830,食料品,日本コカ・コーラ（株）,東京都渋谷区渋谷４－６－３,35.6582851,139.7122993,-
1940,総合卸売,コーンズ・アンド・カンパニー・リミテッド（東京本社）,東京都港区芝３－５－１　コーンズハウス,35.6523291,139.7485902,-
2080,総合卸売,（株）大昌貿易行,東京都港区六本木５－１８－２　大昌第２ビル,35.6611999,139.7372411,虎ノ門・六本木
2100,化学,ポリプラ・エボニック（株）,東京都新宿区西新宿２－３－１　新宿モノリス１３階,35.6886159,139.6945675,-
2200,医薬品,アボットジャパン合同会社,東京都港区三田３－５－２７　住友不動産三田ツインビル西館５階,35.6440283,139.7424264,-
2250,輸送用機器卸売,デーナ・ジャパン（株）,東京都中央区日本橋人形町２－１４－１０　アーバンネット日本橋ビル４階,35.6845047,139.7852181,-
2280,機械卸売,日本データカード（株）,東京都港区台場２－３－１　トレードピアお台場２２階,35.6277852,139.7762674,-
2290,化学,エボニックジャパン（株）,東京都新宿区西新宿２－３－１　新宿モノリス１２階,35.6886159,139.6945675,-
2300,化学,デナック（株）,東京都千代田区神田小川町３－７－５　ＶＯＲＴ神保町６階,35.6939492,139.7613944,-
2370,その他卸売,アールストローム－ムンクショージャパン（株）,東京都品川区大崎３－５－２　エステージ大崎,35.6208071,139.7254873,-
