業種名,和文社名,住所,業種,会社コード,公開有無,フリガナ,旧会社名,英文社名,郵便番号,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
輸送機器,（株）シャーデル東郷,愛知県みよし市福谷町蟹畑２,製造業,403316,未上場,シャーデルトウゴウ,,Ｓｃｈｅｒｄｅｌ－Ｔｏｇｏ　Ｃｏ，　Ｌｔｄ,470-0207,0561-33-4000,http://www.togoh.co.jp/,,自動車用部品製造,,,,,200210,100,35.1161632,137.0953023
輸送用機器卸売,日本エルアンドエルプロダクツ（株）,愛知県安城市横山町菅池３７－２,その他非製造業,222161,未上場,ニッポンエルアンドエルプロダクツ,,Ｌ＆Ｌ　Ｐｒｏｄｕｃｔｓ　ｏｆ　Ｊａｐａｎ　Ｉｎｃ．,446-0045,0566-77-8312,http://www.llproducts.com/,,車体構造補強部品および静粛性向上用ピラー充填剤の技術サービス・販売,,,,,199705,10,34.964259,137.0702809
電気機器卸売,富士ゼロックス愛知東（株）,愛知県岡崎市康生通南３－３１,その他非製造業,381620,未上場,フジゼロックスアイチヒガシ,愛知東ゼロックス（株）（2006.4）,Ｆｕｊｉ　Ｘｅｒｏｘ　Ａｉｃｈｉ－Ｈｉｇａｓｈｉ　Ｃｏ．，　Ｌｔｄ．,444-0044,0564-24-1112,http://www.fujixerox.co.jp/ahx/,,事務用機器の販売・保守,,,,,198105,30,34.9574147,137.1656175
金属製品,豊田バンモップス（株）,愛知県岡崎市舞木町字城山１－５４,製造業,12480,未上場,トヨダバンモップス,,Ｔｏｙｏｄａ　Ｖａｎ　Ｍｏｐｐｅｓ　Ｌｔｄ．,444-3594,0564-48-5311,http://www.tvmk.co.jp/,［出張所］　東京ＴＥＬ０３－６２１８－０３１１，大阪ＴＥＬ０６－６３３８－５６９７，広島ＴＥＬ０８２－８９０－０６６１，福岡ＴＥＬ０９２－８９２－３４１０，浜松ＴＥＬ０５３－４１１－８０１８　［工場］　本社,ダイヤモンドドレッサ，ダイヤモンドホイール，その他ダイヤモンド工具,三井物産（ダイヤモンドパウダー）,ＪＴＥＫＴ，トヨタ自動車，トヨタグループ各社,,◎三井住友，三菱東京ＵＦＪ,197504,481,34.8995125,137.2314278
機械卸売,（株）ナショナル・マシナリー・アジア,愛知県春日井市堀ノ内町２－６－７,その他非製造業,101000,未上場,ナショナルマシナリーアジア,,Ｎａｔｉｏｎａｌ　Ｍａｃｈｉｎｅｒｙ　Ａｓｉａ　Ｃｏ．，　Ｌｔｄ．,486-0829,0568-89-0571,http://www.nationalmachinery.com/,［営業所］　東京（神奈川県相模原市中央区上溝４４８７－１ＴＥＬ０４２－７１３－３０７１）,冷間鍛造機械の輸入販売,ナショナルマシナリー社,ＮＴＮ，ミネベア，デンソー，大阪螺子製作所，日本精工,ＦＯＲＭＡＸ,北陸，三菱東京ＵＦＪ,199003,100,35.2521389,137.0052326
精密機器卸売,（株）ブルームＬＭＴ,愛知県小牧市大山２２０２－１,その他非製造業,210026,未上場,ブルームエルエムテー,,Ｂｌｕｍ　ＬＭＴ，　（ＫＫ）,485-0026,0568-74-5311,http://www.blum-novotest.com/,,工作機械上に於ける工具計測・ワーク計測装置の輸入販売・技術サポート,,,,,199912,10,35.2804954,136.9301719
化学,ＢＡＳＦ　ＩＮＯＡＣ　ポリウレタン（株）,愛知県新城市川田字本宮道１－１９６,製造業,9890,未上場,ビーエーエスエフイノアックポリウレタン,ビーエーエスエフ　イノアック　ポリウレタン（株）（2003.1）,ＢＡＳＦ　ＩＮＯＡＣ　Ｐｏｌｙｕｒｅｔｈａｎｅｓ　Ｌｔｄ．,441-1347,0536-23-5533,http://www.bip-jp.com/,［営業所］　東日本，西日本，札幌，東北　［工場］　愛知県新城市,ウレタンフォームシステム，ウレタンエラストマー，ウレタン原料（ＭＤＩ）の開発・製造・販売,,,,,196511,495,34.8844482,137.454479
輸送機器,住友ナコ　マテリアル　ハンドリング（株）,愛知県大府市大東町２－７５,製造業,11560,未上場,スミトモナコマテリアルハンドリング,住友エール（株）（1999.11）,Ｓｕｍｉｔｏｍｏ　ＮＡＣＣＯ　Ｍａｔｅｒｉａｌｓ　Ｈａｎｄｌｉｎｇ　Ｃｏ．，　Ｌｔｄ．,474-8555,0562-48-5251,http://www.sumitomonacco.co.jp/,［営業所］　東京，名古屋，大阪，神戸，福岡，千葉，埼玉，静岡，三重，京都，他４２　［工場］　本社,フォークリフトの製造・販売,マツダ，カヤバ工業，エクセディー，小野田工業，信濃屋塗料，ジーエスユアサコーポレーション，ヤンマー,住友ナコマテリアルハンドリング販売，ＮＡＣＣＯ　Ｍａｔｅｒｉａｌｓ　Ｈａｎｄｌｉｎｇ　Ｇｒｏｕｐ　Ｉｎｃ．,住友，ＹＡＬＥ，ＨＹＳＴＥＲ,◎三井住友，三井住友信，みずほ，三重,197205,"1,000",35.0044963,136.9745755
医薬品,ラクオリア創薬（株）,愛知県知多郡武豊町字５号地２,製造業,420124,上場,ラクオリアソウヤク,,ＲａＱｕａｌｉａ　Ｐｈａｒｍａ　Ｉｎｃ．,470-2341,0569-84-0700,http://www.raqualia.co.jp/,,医薬品の研究開発等１００％,,,,三井住友，三菱東京ＵＦＪ，みずほ,200802,"8,489",34.8552846,136.9329747
他製造業,（株）ロジャースイノアック,愛知県知多郡武豊町字梨子ノ木９－１１７,製造業,201290,未上場,ロジャースイノアック,ロジャース井上（株）（1990.6）,Ｒｏｇｅｒｓ　Ｉｎｏａｃ　Ｃｏｒｐ．,470-2309,0569-74-1811,http://www.poron.jp/,［工場］　（三重）三重県松阪市飯高町宮前字川ノ上３８－１，（武豊）愛知県知多郡武豊町字梨子ノ木９－１１７,ポリマー技術を用いた高密度マイクロウレタンフォームの製造・販売,イノアックコーポレーション,イノアックコーポレーション，イノアックインターナショナル,ＰＯＲＯＮ，ＮａｎＮｅｘ,みずほコーポ，三菱東京ＵＦＪ,198401,97,34.8665458,136.8980627
