ＴＫＣ,会社コード,業種名,公開有無,フリガナ,和文社名,旧会社名,英文社名,郵便番号,住所,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
10248300,90,精密機器,未上場,ニホンアキュライド,日本アキュライド（株）,,Ａｃｃｕｒｉｄｅ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,614-8265,京都府八幡市岩田南浅地４４,075-983-7500,https://www.accuride.co.jp/,［東京本部］　東京都千代田区神田淡路町１－４－１友泉淡路町ビル９階ＴＥＬ０３－５２０９－７４０１　［大阪営業所］　大阪市西区新町１－４－２４ＴＥＬ０６－６５３５－７２１３　［工場］　本社,ボール・ベアリング式精密スライド装置および関連製品の製造・販売・輸出入,くろがね工作所，天辻鋼球製作所,スガツネ工業，キヤノン，リコー，富士フイルムビジネスイノベーション,アキュライド,◎三菱ＵＦＪ，三井住友,197409,50,34.85092900000001,135.7441026
10388692,100,化学,未上場,ヘンケルジャパン,ヘンケルジャパン（株）,,ＨＥＮＫＥＬ　ＪＡＰＡＮ　ＬＴＤ．,140-0002,東京都品川区東品川２－２－８　スフィアタワー天王洲１４階,03-5769-6427,https://www.henkel.co.jp/,［本社］　東京，横浜，大阪　［支店］　名古屋，大阪，広島，福岡　［営業所］　名古屋　［事業場］　日野，加古川　厚木　［研究開発部／テストスタジオ］　東京,化粧品の輸入・製造・販売，接着剤およびシーリング剤の製造・加工・輸入・販売，表面処理剤の輸入・製造・販売,,,ＬＯＣＴＩＴＥ，ＴＥＣＨＮＯＭＥＬＴ，ＢＯＮＤＥＲＩＴＥ，Ｓｃｈｗａｒｚｋｏｐｆ，Ｓｙｏｓｓ，Ｐｅｒｓｉｌ，ａｌｌ,,196212,499,35.6229184,139.7496359
10388700,160,化学卸売,未上場,ニホンアグフアゲバルト,日本アグフア・ゲバルト（株）,,Ａｇｆａ－Ｇｅｖａｅｒｔ　Ｊａｐａｎ，　Ｌｔｄ．,141-0032,東京都品川区大崎１－６－１　大崎ニューシティビル１号館５階,03-5487-8254,http://www.apogee-users.jp/,［大阪支社］　大阪市西区阿波座１－９－９ＴＥＬ０６－６５３５－８９２０　［支店］　中部（名古屋），九州（福岡）　［五反田ショールーム］　東京都品川区西五反田７－２２－１７ＴＥＬ０３－６４２０－２０１０　［営業所］　札幌，新潟,印刷業界および医療用の写真・デジタル画像システムなどの輸出入および販売,Ａｇｆａ－Ｇｅｖａｅｒｔ　Ｎ．Ｖ．（ベルギー）,,Ａｚｕｒａ（プレート），Ａｐｏｇｅｅ（ワークフロー），Ａｖａｒｏｎ（ＣＴＰ），ＪＥＴＩ（インクジェット），Ｓｕｂｌｉｍａ（スクリーニング）,,195012,499,35.62041060000001,139.7283008
10388767,280,機械,未上場,アルファラバル,アルファ・ラバル（株）,アルファラバル産業機械（1988.1）,Ａｌｆａ　Ｌａｖａｌ　Ｋ．Ｋ．,108-0075,東京都港区港南２－１２－２３　明産高浜ビル１０階,03-5462-2442,https://www.alfalaval.jp/,［工場］　（湘南センター）神奈川県高座郡寒川町一之宮７－１１－２ＴＥＬ０４６７－７５－３６８２　［支社］　大阪（大阪市北区ＴＥＬ０６－４７９６－１００１），名古屋（名古屋市西区ＴＥＬ０５２－５６９－２４４０），中国（広島県尾道市ＴＥＬ０８４８－３７－７７４２）,分離機，食品加工機械，熱交換器，造水装置ならびにその他分離，清浄，濃縮等に用いる機器およびプラント類の国内製造・販売と輸出入,Ａｌｆａ　Ｌａｖａｌ　ＡＳ（デンマーク），Ａｌｆａ　Ｌａｖａｌ　ＡＢ（スウェーデン）他,三菱電機，三菱重工業，キリンビール，サントリー酒類，日揮，大島造船所，森松工業，ダイワ販売,Ａｌｆａ　Ｌａｖａｌ,三井住友,197802,490,35.6249865,139.745484
10388791,420,電気機器,未上場,タイコエレクトロニクスジャパン,タイコエレクトロニクスジャパン合同会社,タイコ　エレクトロニクス　アンプ（株）（2009.9）,Ｔｙｃｏ　Ｅｌｅｃｔｒｏｎｉｃｓ　Ｊａｐａｎ　Ｇ．Ｋ．,213-8535,神奈川県川崎市高津区久本３－５－８,044-844-8111,https://www.te.com/,［支店］　大阪ＴＥＬ０６－６５３３－８２００，中部（豊田）　［工場］　川崎エンジニアリングセンター，掛川，掛川ディストリビューションセンター,各種コネクタ，他電子部品・マシンなどの製造・販売,,,ＡＭＰ，Ｒａｙｃｈｅｍ，ＴＥ　Ｃｏｎｎｅｃｔｉｖｉｔｙ，他,シティ,195707,"17,300",35.5968858,139.6179291
10987260,445,他小売,未上場,ニホンアムウェイ,日本アムウェイ合同会社,日本アムウェイ（株）（2008.9）,Ａｍｗａｙ　Ｊａｐａｎ　Ｇ．Ｋ．,150-0042,東京都渋谷区宇田川町７－１,03-5428-7000,https://www.amway.co.jp/,［流通センター］　八王子　［アムウェイ・プラザ］　札幌，仙台，東京，名古屋，大阪，広島，福岡,ハウスウエア２０．２％，パーソナルケア２３．０％，栄養補給食品５１．８％，ホームケア２．９％，他２．１％,,,Ａｍｗａｙ（アムウェイ），Ｎｕｔｒｉｌｉｔｅ（ニュートリライト），ＸＳ　ＥＮＥＲＧＹ（エクセス　エナジー），　Ａｒｔｉｓｔｒｙ（アーティストリー），Ｓａｔｉｎｉｑｕｅ（サテニーク），ｅＳｐｒｉｎｇ（イースプリング），Ｓｐｒｅｅｄｅｎｔ（スプリーデント），ＰｒｉｍｏＰｅｔ（プリモペット）,三菱ＵＦＪ，三井住友，シティ,200809,"5,000",35.66380150000001,139.6964043
10388809,450,電気機器,未上場,アナログデバイセズ,アナログ・デバイセズ（株）,,Ａｎａｌｏｇ　Ｄｅｖｉｃｅｓ　Ｋ．Ｋ．,105-6891,東京都港区海岸１－１６－１　ニューピア竹芝サウスタワービル１０階,03-5402-8200,http://www.analog.com/jp/,［営業所］　（大阪）大阪市淀川区宮原３－５－３６新大阪トラストタワー１０階ＴＥＬ０６－６３５０－６８６８，（名古屋）愛知県名古屋市西区牛島町６－１名古屋ルーセントタワー３８階ＴＥＬ０５２－５６９－６３００,半導体ＩＣ製品オペアンプ，Ａ／Ｄコンバータ，Ｄ／Ａコンバータ，センサー等の開発・製造・輸入販売，市場調査,,東芝，ＮＥＣ，三菱電機，富士通，横河電機，ソニー，パナソニック，アドバンテスト，キヤノン,,三菱ＵＦＪ，三井住友,197012,454,35.6534029,139.7625892
10054716,490,精密機器卸売,未上場,アプライドマテリアルズジャパン,アプライド　マテリアルズ　ジャパン（株）,,Ａｐｐｌｉｅｄ　Ｍａｔｅｒｉａｌｓ　Ｊａｐａｎ，　Ｉｎｃ．,108-8444,東京都港区海岸３－２０－２０　ヨコソーレインボータワー８階,03-6812-6800,https://www.appliedmaterials.com/ja,［支店］　大阪　［サービスセンター］　１６　［パーツセンター］　立川，羽田　［オフィス］　川崎,半導体製造装置と関連周辺機器，ソフトウェアの販売・保守・サービス，ディスプレー製造装置の保守・サービス,米アプライド　マテリアルズ,キオクシア，ソニーセミコンダクタマニュファクチャリング，マイクロンメモリジャパン，富士電機，信越半導体，ユナイテッド・セミコンダクター・ジャパン，ルネサスセミコンダクタマニュファクチュアリング，ジャパンディスプレイ，他,,シティ,197910,"5,950",35.6400253,139.7565031
10388825,500,機械卸売,未上場,エスピーエックスフローテクノロジージャパン,ＳＰＸフローテクノロジージャパン（株）,日本ＡＰＶ（株）（2011.2）,ＳＰＸ　Ｆｌｏｗ　Ｔｅｃｈｎｏｌｏｇｙ　Ｊａｐａｎ，　Ｉｎｃ．,150-0013,東京都渋谷区恵比寿１－１９－１５　ウノサワ東急ビル２階,03-5793-5611,https://www.spxflow.com/,［パーツセンター］　川崎市幸区小倉２－３３－４７,乳業，飲料，加工，醸造等への総合エンジニアリングを提供。アフターサービス，関連機器の販売。工業プラント向けミキサー，バルブ，ポンプ等の販売,ＳＰＸグループ各工場および国内協力会社,カルピス，熊本果実農業，小岩井乳業，四国化工機，シャトレーゼ，大和製缶，千代田化工，日揮，雪印メグミルク，北海道日高，三菱重工，南日本酪農，明治乳業，森永乳業，ヤクルト本社等,ＳＰＸ，ＡＰＶ，Ｂｒａｎ＋Ｌｕｅｂｂｅ，Ｃｏｐｅｓ－Ｖｕｌｃａｎ，Ｇｅｒｓｔｅｎｂｅｒｇ　Ｓｃｈｒｏｄｅｒ，Ｌｉｇｈｔｎｉｎ，Ｐｌｅｎｔｙ，Ａｎｈｙｄｒｏ，ＷＣＢ,三菱ＵＦＪ，三井住友,196305,50,35.6474157,139.7132495
10388833,690,機械,未上場,ニッポンアスコ,日本アスコ（株）,,ＡＳＣＯ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,663-8202,兵庫県西宮市高畑町１－２０,0798-65-6361,https://www.ascojp.co.jp/,［支店］　（東京）東京都港区芝２－３－３ＴＥＬ０３－３４５７－８６９１，（大阪）兵庫県西宮市高畑町１－２０ＴＥＬ０７９８－５５－７３７７，（名古屋）愛知県小牧市東田中２１００ＴＥＬ０５０－３１３４－２９７５，（福岡）福岡市博多区豊１－１０－５０ＴＥＬ０５０－３１３４－２９７９　［工場］　西宮（本社）,電磁弁，温度スイッチ，圧力スイッチ，非常用電力切替装置，電磁コントロール装置等の設計・製造・販売,ＡＳＣＯ，Ｌ．Ｐ．（米）,大手電力会社，三菱重工業，三菱日立パワーシステムズ,ＡＳＣＯ，ＴｏｐＷｏｒｘ,シティ,197001,50,34.7397501,135.3602113
